title,scope,level,language,topic
Mastering Malware for Professionals,This module focuses on the practical implementation of Malware security measures.,Intermediate,Arabic,Malware
Understanding Clean Office Policy,"This course provides an in-depth look at Clean Office Policy, covering key concepts and practical applications.",Beginner,English,Clean Office Policy
Securing Your Assets with Customer Care,Learn the fundamental principles of Customer Care and how to apply them in real-world scenarios.,Advanced,Arabic,Customer Care
Understanding USB Attacks,Explore advanced techniques and strategies to mitigate risks related to USB Attacks.,Intermediate,English,USB Attacks
Essentials of Mobile Security,This module focuses on the practical implementation of Mobile Security security measures.,Beginner,Arabic,Mobile Security
Introduction to Using AI Safely,Develop robust policies and procedures to enhance your organization's Using AI Safely posture.,Expert,English,Using AI Safely
Advanced Strategies in Laundering,This module focuses on the practical implementation of Laundering security measures.,Intermediate,English,Laundering
Securing Your Assets with Data Encryption,Learn the fundamental principles of Data Encryption and how to apply them in real-world scenarios.,Expert,English,Data Encryption
Understanding QR Phishing,"A comprehensive overview of QR Phishing, designed for both beginners and experienced professionals.",Intermediate,Arabic,QR Phishing
Mastering Using AI Safely for Professionals,Gain critical insights into Using AI Safely and its impact on modern cybersecurity.,Intermediate,English,Using AI Safely
Navigating the World of Regulations,"A comprehensive overview of Regulations, designed for both beginners and experienced professionals.",Expert,English,Regulations
The Complete Guide to ATM Security,Explore advanced techniques and strategies to mitigate risks related to ATM Security.,Intermediate,Arabic,ATM Security
Securing Your Assets with Financial Security,"A comprehensive overview of Financial Security, designed for both beginners and experienced professionals.",Intermediate,Arabic,Financial Security
Advanced Strategies in USB Attacks,Learn the fundamental principles of USB Attacks and how to apply them in real-world scenarios.,Expert,English,USB Attacks
The Complete Guide to Web Attacks,Gain critical insights into Web Attacks and its impact on modern cybersecurity.,Intermediate,English,Web Attacks
Best Practices for Business Email Compromise,"This course provides an in-depth look at Business Email Compromise, covering key concepts and practical applications.",Beginner,English,Business Email Compromise
Navigating the World of Using AI Safely,"A comprehensive overview of Using AI Safely, designed for both beginners and experienced professionals.",Advanced,English,Using AI Safely
Mastering Acceptance Policy for Professionals,Gain critical insights into Acceptance Policy and its impact on modern cybersecurity.,Advanced,English,Acceptance Policy
Mastering Laundering for Professionals,Gain critical insights into Laundering and its impact on modern cybersecurity.,Advanced,English,Laundering
Essentials of Acceptance Policy,Develop robust policies and procedures to enhance your organization's Acceptance Policy posture.,Expert,English,Acceptance Policy
Mastering Regulations for Professionals,"A comprehensive overview of Regulations, designed for both beginners and experienced professionals.",Intermediate,Arabic,Regulations
Introduction to Malware,Develop robust policies and procedures to enhance your organization's Malware posture.,Expert,Arabic,Malware
Essentials of Data Security,"This course provides an in-depth look at Data Security, covering key concepts and practical applications.",Advanced,English,Data Security
Essentials of Bring Your Own Device (BYOD),Understand the latest trends and challenges in Bring Your Own Device (BYOD) and how to effectively address them.,Expert,Arabic,Bring Your Own Device (BYOD)
Advanced Strategies in Physical Security,"This course provides an in-depth look at Physical Security, covering key concepts and practical applications.",Intermediate,Arabic,Physical Security
Advanced Strategies in Continuity,"A comprehensive overview of Continuity, designed for both beginners and experienced professionals.",Intermediate,English,Continuity
Understanding QR Phishing,Explore advanced techniques and strategies to mitigate risks related to QR Phishing.,Expert,English,QR Phishing
Understanding Security Procedures,"A comprehensive overview of Security Procedures, designed for both beginners and experienced professionals.",Advanced,Arabic,Security Procedures
Understanding ATM Security,This module focuses on the practical implementation of ATM Security security measures.,Intermediate,English,ATM Security
Navigating the World of OWASP TOP 10,Gain critical insights into OWASP TOP 10 and its impact on modern cybersecurity.,Beginner,English,OWASP TOP 10
Introduction to Telework,Develop robust policies and procedures to enhance your organization's Telework posture.,Advanced,Arabic,Telework
Mastering Bring Your Own Device (BYOD) for Professionals,Develop robust policies and procedures to enhance your organization's Bring Your Own Device (BYOD) posture.,Expert,English,Bring Your Own Device (BYOD)
Introduction to PII,"A comprehensive overview of PII, designed for both beginners and experienced professionals.",Expert,English,PII
Mastering Physical Security for Professionals,This module focuses on the practical implementation of Physical Security security measures.,Advanced,Arabic,Physical Security
Best Practices for Reporting,Understand the latest trends and challenges in Reporting and how to effectively address them.,Intermediate,English,Reporting
The Complete Guide to Real attacks,Explore advanced techniques and strategies to mitigate risks related to Real attacks.,Beginner,Arabic,Real attacks
Introduction to Data Encryption,Develop robust policies and procedures to enhance your organization's Data Encryption posture.,Advanced,Arabic,Data Encryption
Best Practices for Password Security,Understand the latest trends and challenges in Password Security and how to effectively address them.,Intermediate,Arabic,Password Security
Securing Your Assets with Using AI Safely,Gain critical insights into Using AI Safely and its impact on modern cybersecurity.,Intermediate,English,Using AI Safely
